SiteCode,year,month,adult,pup,weaner,non_pup_seals
DB,2022,12,235,4,0,235
DB,2023,1,862.75,361.375,5.25,868
DB,2023,2,809.8,613.8,344.8,1154.6
DB,2023,3,140,29,921.5,1061.5
DB,2023,12,266.6666666666667,2,0,266.6666666666667
DB,2024,1,792.4444444444445,362,24.333333333333332,816.7777777777778
DB,2024,2,768.3333333333334,519.1666666666666,387,1155.3333333333335
DB,2024,3,109,17,870,979
DB,2024,12,250.75,14.333333333333332,0,250.75
DB,2025,1,908.5,508.625,26.2,934.7
DB,2025,2,495.57142857142856,344.85714285714283,606.1428571428571,1101.7142857142858
DB,2025,3,109,14,950,1059
SB,2022,12,12,0,0,12
SB,2023,1,53.5,23.142857142857142,2,55.5
SB,2023,2,49,29,19.8,68.8
SB,2023,3,15,0,49.5,64.5
SB,2023,12,6,0,0,6
SB,2024,1,48.44444444444444,17.88888888888889,2.6666666666666665,51.11111111111111
SB,2024,2,55.833333333333336,33,21.833333333333332,77.66666666666667
SB,2024,3,17,1,65,82
SB,2024,12,19.333333333333332,0,0,19.333333333333332
SB,2025,1,46.25,21.625,2,48.25
SB,2025,2,34.142857142857146,18.142857142857142,25.428571428571427,59.57142857142857
SB,2025,3,16,0,39,55
